"","f","e","d","tau_q","tau_s","v_s","y"
"1876",0.745966524804033,0.991013711968294,81.6908728083448,1.45621065662176,128.793865151083,0.824452612581633,0.444006122904632
"2216",0.73806916005707,1.00090250417435,60.5754799370542,1.49696089698598,115.080776071262,0.776680370853926,0.441354330170222
"1047",1.02890601732655,1.00870098002898,77.4818166459015,4.43584007442084,109.565636145382,0.936130850145295,0.637818162873556
"1742",0.744071701574828,0.991542850062733,94.0979263382614,1.61964240042352,120.309792759738,0.713218519833182,0.446195033959356
"1004",1.10276563200168,1.00272671375051,152.753999608103,7.73088175035082,120.66491928394,0.714690208574757,0.689079787538487
"2376",0.728830145225473,1.00935654806744,119.445562271909,1.47219857882527,154.636722867527,0.756801459144466,0.437924050429211
"2316",0.745676742933809,0.996978420827115,117.611658776401,0.865849862845734,123.02165361792,0.770103294289973,0.449604728614368
"2097",0.723354236885633,0.99669559793789,113.666043477741,1.93112461516613,163.946812971112,0.72664043555527,0.435422731909256
"1001",0.77382599971716,0.996344106638594,168.170815995529,1.32764883863443,132.413800842996,0.730276555166187,0.469577559760995
"2175",0.746737801756468,0.993749783189537,60.2469779352171,1.9321615988108,119.490029819584,0.746371611673192,0.452086799302068
"1891",0.715487441786128,0.996587571755988,77.9635408894457,1.50094236083089,139.807643559744,0.750859620184398,0.431551007535516
"1104",0.909462456919953,1.00272699794567,81.7978322911148,8.26942603222691,181.724373245341,0.663328526706744,0.563042486916341
"2446",0.731728772529064,0.995262514730371,159.479779634402,1.57339812552761,124.96520463387,0.738479088898826,0.444431666128467
"2196",0.745944700986843,0.996553271771046,83.4768145657122,1.49696158850903,121.560289578836,0.839076079913587,0.456079547924088
"2186",0.709785937387242,0.995040049744755,95.3944221994444,1.75072359309794,157.606652475043,0.720873669064016,0.433552713814944
"1296",0.912459266369453,1.00178895421161,57.2315130921337,8.7634121698229,115.385721307739,0.766134821803904,0.57089347782389
"2197",0.716942304351726,0.990559917192654,110.058051318444,1.51891731324157,146.822031352359,0.701690222067628,0.439632847391606
"2167",0.699811956358494,0.991187074675931,109.733136243882,1.43246873215245,161.562492413025,0.758254263857142,0.42915135694345
"2384",0.753642344436844,0.991112387272697,153.772073043338,1.82809543072663,201.067721367473,0.701502027813714,0.465617634310116
"2347",0.697577333713297,0.995675255514821,99.8856816405986,1.13821446306846,133.810152619769,0.774003348361027,0.427772682946565
"2191",0.708734544050201,0.997671722505919,131.315645551877,1.96437270260797,118.986150063274,0.746946146389914,0.436080790447008
