"","f","e","d","tau_q","tau_s","v_s"
"20",0.728079214008684,0.277195910815451,0.000154654058437087,0.000322984432845578,0.000306222291147009,0.810703467887495
"21",0.593492091298639,0.565088154344981,0.000641261007421919,0.00217526149471159,0.000179763525725712,0.749022331683173
"22",0.398238663323737,0.863908778303089,0.00148470517912849,0.00333548782240722,0.000169579742199424,0.580949901609371
"23",0.302280841793146,0.177569409270035,0.000234987600490974,0.0031484514360309,0.000223072428577142,0.954137697165492
"24",0.261972828504728,1.17189367620632,0.00023793109702928,0.00128183181527849,8.4037095057762e-05,0.410465735387194
"25",0.703573080298596,0.688033426772293,0.000813758815192943,0.00542634975041935,0.000195139123339743,0.571534225009671
"26",0.166828284940963,1.12699915015203,0.000225221640685725,0.000447817878012163,8.5461859253227e-05,0.442083744332192
"27",0.247288566256183,1.00927076199225,0.000416714723649395,0.000522314858024601,0.000103126750746659,0.472915414875558
"28",0.500253575216373,0.316365465567083,0.000337560894767066,0.000195142632209533,0.000217202621436991,1.05710332504039
"29",0.271276321590459,0.614809392608918,0.0011178249944807,0.000789826902283524,0.000147762184982782,0.798070531266764
"30",1.02584828895582,0.684850704285242,0.00044982814390672,0.00438922761622783,0.000190828488837773,0.51581844636421
"31",0.572323288142061,0.631352448431736,0.000557006633157088,0.000903861461854982,0.000186378145133256,0.688727233870274
"32",0.839814269768811,0.407077912743398,0.00039665896849901,0.00324845547282719,0.000467085015388702,0.631890400103417
"33",0.549849406051565,0.790176380299348,0.000363664740833981,0.00129449375027088,0.000135593838375076,0.591497603363223
"34",0.526966417761681,0.887641243684274,0.000503779086346434,0.00130184149173368,0.000129379111864094,0.499430131958477
"35",0.332316308424742,1.1772021742652,0.000359565434543041,0.00191522232991067,9.53692610962657e-05,0.449672552597423
"36",0.627780232224917,0.299685685871301,0.000248565831391472,0.0046629612551547,0.000193217345172661,1.07350444436728
"37",0.628125896832955,0.289694651753152,0.000277680508407801,0.00728063138339762,0.00030670571097897,1.03677597225962
"38",0.784959427768316,0.464288796542388,0.000513721776191746,0.00409476900001134,0.000460164552297211,0.624140038407507
"39",0.292679080485971,0.878330448400315,0.00134429549524771,0.00127597976627445,0.000147065734040791,0.572019011294757
"40",0.208759042023795,1.23770752601037,0.000330167373416904,0.000542249197917409,0.000103458673569208,0.401907496975486
"41",0.772827938152771,0.832983105153358,0.000635019580999068,0.00692371309482711,0.000142581869639598,0.594064401248024
"42",0.174378267578985,0.931736016230217,0.000442343130980345,0.000482322626276674,9.8464904282398e-05,0.556334419360404
"43",0.242343414413303,1.24066172267333,0.000244981273344524,0.00213414514629092,7.27062532377709e-05,0.389931769012488
"44",0.29397738994573,1.33719727583466,0.000441007524434449,0.000944887691886716,0.00021668198096953,0.346677616909846
"45",0.131522183570089,1.62937049699788,0.000178950690443195,0.00199036520595817,0.000136591232214086,0.306993497964425
"46",0.250430565361082,1.25388068882788,0.000399326243153926,0.00232652205434286,7.54227691387941e-05,0.422047655408516
"47",0.37486329213277,1.01646564552239,0.000820842398436202,0.000761759829808205,0.000222583843848928,0.529148025479305
"48",0.775209983849747,0.416694215925698,0.000352079562304046,0.00434760145339426,0.000190660758979998,0.702306831429088
"49",0.718119132440367,0.813645806714002,0.000891340877231727,0.00281517729758994,0.000266278434025223,0.461271244236003
"50",0.551518060255067,1.01979143505795,0.000498942879990771,0.00231026198168967,9.43768643759425e-05,0.436534732134211
"51",0.403279808868845,0.220590912319387,0.000259318473997581,0.00116675393154982,0.00019887563512017,1.07764679305268
"52",0.42645984337931,0.814318941516038,0.00145768162874674,0.00456220410649983,0.000129052790116703,0.524109133758303
"53",0.835359144056151,0.442162493284677,0.00032455409912749,0.00365592952731986,0.000244576553185927,0.799181547435194
"54",0.585711149342171,0.311423435473444,0.000370948993399653,0.0022660905374102,0.000385784819077434,0.874714556525648
"55",0.442223391843659,0.637464189340187,0.000996450461198677,0.00277195885289447,0.000137054157740459,0.678268435345746
"56",0.752962904866143,0.718675873183753,0.000925411394430364,0.00471496465673898,0.000275654280364754,0.462528573291885
"57",0.667557854827045,0.616924408456245,0.000812571030719079,0.00384128287903219,0.000316076100837558,0.746073438424955
