"f","e","d","tau_q","tau_s","v_s","u0"
0.9337776,1.000226,423.5779,9.238762,490.8307,0.9578489,1.5533044407081
1.1402778,0.9933063,338.6903,7.699225,625.7864,0.7812273,1.48721397666819
1.4299222,1.0013078,326.4376,6.06028,209.9733,0.9307894,1.6007313372882
1.3570572,0.998846,456.8319,7.354256,915.8563,0.9239567,1.66228767672385
0.6363258,1.0046808,275.1372,8.073553,997.11,0.9686605,1.45436588337173
1.2351221,1.0086258,451.4562,7.214877,746.2897,0.7247244,1.55635872833287
1.3073553,1.0020271,363.4364,7.087686,216.5068,0.9486774,1.60343234418363
0.7028233,0.9901383,230.8319,8.372069,320.2027,0.9668111,1.37072204326733
0.6201653,1.009734,226.1543,4.057188,994.0512,0.9168292,1.35393967194945
0.7443477,0.9940442,495.1037,8.315693,823.2711,0.9980872,1.53625813227068
1.2157407,0.9993689,248.6196,7.687306,555.1797,0.8309318,1.47732347037887
0.9821374,1.0065701,501.5265,4.047244,287.1403,0.7171282,1.41042171987157
0.6661917,0.9961115,280.8797,7.580816,222.739,0.8590966,1.22837591784824
1.2239342,1.0066398,307.8061,5.665321,933.4557,0.7566457,1.48428269061285
1.1655175,1.00519,299.5637,9.580819,441.5184,0.9952633,1.59764126029754
1.2386213,0.9931664,253.4406,7.36011,866.6645,0.8837516,1.53855695675955
1.0533569,0.9929485,407.1228,5.923355,616.1026,0.990525,1.61327173585396
1.1841807,1.0037303,354.0094,3.617869,761.1026,0.7542849,1.46763649489337
1.2172632,1.0065762,445.3722,7.803821,756.3518,0.7512786,1.56204155771788
1.4151335,1.0021678,380.4841,4.941276,741.0939,0.9876764,1.67484475175594
1.3992181,1.0028972,417.1004,8.073101,860.2891,0.9989282,1.68894323643624
0.6255495,0.9913573,542.407,9.535756,851.5687,0.9700594,1.4618882960173
1.2222285,0.9943886,302.0129,8.218412,544.6624,0.8431631,1.52454467970938
0.507129,1.0035506,354.1325,8.319518,811.1061,0.7150442,1.1363904572094
1.1691487,0.9976492,245.1816,7.913862,412.4804,0.7943799,1.42463587268986
0.6833789,1.0075103,242.34,7.19714,603.4594,0.7719058,1.20497222688834
0.9356608,1.000809,277.4926,3.680959,348.641,0.8120521,1.31272484458861
0.8455246,0.9925217,541.1009,6.980848,799.8439,0.8726207,1.49626542724141
1.1080463,1.0072569,326.9637,9.858992,690.6955,0.9003924,1.55979484015867
1.456998,0.9949078,322.7575,8.316884,553.2023,0.8781759,1.60615725648741
0.6341293,0.9947418,226.8222,4.858141,211.52,0.9406952,1.26395587205739
0.8406267,1.0092866,209.1212,8.134027,497.5996,0.9985672,1.48591069882872
1.2205209,1.0054337,295.6562,7.137664,570.692,0.8130064,1.50325716793398
0.963435,1.0071351,426.9854,6.140527,352.1062,0.7272703,1.40042350682166
1.4178032,0.9926052,522.5344,4.420655,714.9874,0.9585927,1.68438099861422
0.7276818,1.0044732,325.9823,6.753294,710.4311,0.9570321,1.45570392560295
1.4602638,0.9967121,525.0419,5.544603,616.2167,0.9543437,1.68980865291577
0.7056252,0.9994805,233.5077,8.584991,577.6928,0.722485,1.17717727129035
1.1796567,1.0094122,222.7332,5.981498,286.0272,0.7077327,1.31762731863707
0.5102513,0.9960785,212.2672,4.366122,845.2602,0.9294804,1.33633184417704
0.8362227,1.0095572,456.0615,6.757967,762.8434,0.7681637,1.39388876343346
