"f","e","d","tau_q","tau_s","v_s","u0"
1.0752762,0.9987248,282.4058,4.881992,658.0945,0.7209675,1.35293637016847
0.5103057,1.0004626,480.8268,5.506419,644.4099,0.7196898,1.09707405060649
1.3381046,1.0031568,465.0528,3.730992,289.6419,0.8483412,1.60123425370589
1.0961109,0.9992006,541.6345,6.466325,965.0224,0.9216416,1.62972787208292
1.487777,1.0037039,338.6404,5.794577,554.4085,0.9164367,1.63279571939576
0.9677911,1.0034922,293.2763,6.634515,300.8605,0.9463461,1.47910076388892
1.3837354,1.0029774,543.132,9.483826,567.1034,0.9537305,1.68621918825686
1.0330193,0.9972539,380.8226,5.487622,670.2215,0.7645878,1.44431623100686
0.7539685,0.9942289,449.2628,4.094206,450.9401,0.9742735,1.46826132971684
1.2897007,0.9940988,247.1691,4.268043,833.8736,0.8928058,1.53408779756998
1.3147561,0.9957879,355.5217,5.01418,776.3061,0.7326562,1.50997689073749
0.7947314,1.0079936,363.3315,4.907851,769.7327,0.804547,1.33869497763787
0.5354185,1.0024493,315.1794,3.181279,570.3148,0.8102863,1.12810753168275
1.2834129,1.0057945,229.3997,5.269786,558.5031,0.823226,1.45865106290506
0.6537107,1.0019688,268.0446,8.347023,280.2084,0.7730498,1.16417932082203
0.5207089,0.9998685,330.9041,6.340807,299.3435,0.7047161,1.03718824968843
1.205495,0.9924939,211.5197,5.310801,663.4844,0.7002944,1.31811308405283
0.5241914,0.9917943,417.6039,6.634683,315.0331,0.825606,1.18835609673662
1.3120415,1.0074776,248.3285,4.798089,728.1183,0.8038524,1.47639589414141
0.9563366,1.0064049,448.9858,6.498984,476.3598,0.8570598,1.50032965559935
1.4254232,0.9976632,398.2358,3.924142,538.4988,0.8889885,1.62182048147682
0.5407398,0.9938034,498.5057,7.986134,921.6635,0.9443186,1.40668578465831
1.2318553,0.9940847,486.4099,7.767866,570.8247,0.9748329,1.65668575328754
0.8949094,0.9944078,405.7249,4.905957,664.7961,0.964782,1.54521211671395
0.5645532,1.008125,445.151,3.24142,704.7948,0.9174285,1.33131733553719
1.0809751,1.0085548,314.4609,6.101507,843.7531,0.9790317,1.60416241239132
0.6422066,0.9948989,344.8988,4.567666,495.9843,0.7591382,1.13950135441912
0.8233422,0.9978392,315.5345,4.947358,599.4425,0.9412499,1.46001148472507
1.2374633,0.9920416,511.0064,7.062919,957.8965,0.9359042,1.65655592555223
1.4625123,1.0031676,379.0425,7.991042,569.7455,0.8122199,1.61098399422562
1.1661032,0.9940863,205.4389,5.250845,249.4926,0.875423,1.39941648355596
1.2736062,0.9985357,269.0103,8.008803,231.0215,0.8201202,1.47490762897653
1.3003041,0.9910353,219.9121,8.537466,611.1372,0.8061702,1.4640358997216
1.4168609,1.0094526,401.6087,4.33689,225.6824,0.7162917,1.54443847046527
0.8891187,1.0070008,389.8431,8.397199,606.0779,0.706172,1.36292906892716
1.2423321,0.9977882,531.7594,9.639374,268.6908,0.9998995,1.66119441404782
1.1628493,1.0044252,485.4054,6.406236,611.28,0.9579151,1.64021112811994
0.9090896,0.9938875,494.4491,9.809491,969.685,0.7575494,1.47364381136943
1.2498466,1.0037827,427.6497,6.213227,843.9523,0.9267972,1.63738085802828
0.8064975,0.995075,431.6812,4.689565,492.6542,0.8143757,1.348482385912
1.3446479,1.0001369,228.6146,5.727076,537.3503,0.7414502,1.41805119910716
1.1881683,0.99769,284.241,9.026827,277.7364,0.9236306,1.52912680847773
1.1099954,1.0083415,447.2332,3.798552,820.4404,0.9205675,1.60261849111194
0.9482781,1.0015888,533.7311,5.2438,681.0383,0.9094336,1.56032151290732
1.1238245,0.9938318,294.1923,9.412797,634.3705,0.7822484,1.46501772284967
0.6889226,0.9977642,326.9785,4.87371,363.5833,0.8239098,1.2235333542062
1.1740785,0.9960642,376.7807,9.097679,555.8568,0.8688752,1.56836079162146
0.7282178,0.9989333,444.3712,6.100907,584.2882,0.9344456,1.437399651198
1.3925411,1.0017224,202.5434,3.890242,616.0065,0.8188795,1.44232815240827
1.4019782,1.006922,282.2333,9.977114,447.9541,0.8236533,1.55489656271087
1.4151661,1.003612,354.6449,9.869001,989.9713,0.8917264,1.63984043184853
0.724515,1.0096316,348.4555,8.46721,760.0694,0.7077796,1.24177589478362
1.108538,1.0056673,322.5215,7.33335,725.2311,0.7358009,1.4469284703961
0.9930332,1.009792,477.1388,6.491181,442.4978,0.7726234,1.47934550082642
1.0242925,1.0096434,357.4271,6.082008,666.7775,0.8705273,1.51319296690221
0.9890282,1.0005533,318.4387,3.456765,547.4609,0.9700641,1.54320356686893
0.9222706,0.994236,325.193,3.72422,711.6331,0.7533848,1.31530252628302
1.0376019,0.9907416,481.5887,5.19701,239.1106,0.845084,1.5037383317706
0.5021912,1.00228,273.6482,4.532749,589.0082,0.8474318,1.20183833921953
1.3858331,1.0070148,538.5193,4.253337,338.4849,0.9470935,1.67543236172718
0.7404049,0.9928901,508.9765,7.702522,899.9572,0.8496723,1.41560534744303
0.8754764,0.9995897,308.9128,3.148364,992.4359,0.8426873,1.38724697758081
0.9641954,1.0054033,461.5841,5.598809,554.088,0.7510515,1.44006171336876
0.9549494,1.0014836,446.5845,3.188292,280.2818,0.9604358,1.53252918331762
0.9309309,1.0020877,411.1316,4.188027,886.9327,0.7694392,1.40858378781294
0.7992407,1.0013719,336.8407,7.327112,303.7229,0.7423273,1.25177420968215
0.6549559,1.0010737,209.9878,8.381485,213.2065,0.9653815,1.31006694842531
0.6431039,0.9982332,429.6969,5.764234,550.1852,0.9962016,1.45251859671832
0.5343163,0.9923317,272.5136,9.827931,685.9091,0.9728307,1.40741817932524
0.7926131,0.9963673,277.2589,8.111057,740.109,0.8012471,1.32769215176018
1.390419,0.9999238,380.7544,9.595496,293.8193,0.9306507,1.63052723768852
0.9931159,0.9940201,328.1902,4.635157,306.8586,0.9996217,1.54338313605831
0.6165912,0.9972088,494.266,7.775151,504.9444,0.8607826,1.31164569908337
0.9561295,0.9933149,381.5844,3.180401,413.2339,0.7694126,1.35152365845209
1.3017853,1.0058952,510.1632,5.449876,979.0728,0.9850585,1.68868857737482
1.414059,1.0012723,321.396,7.720902,383.4489,0.7352338,1.52782152541728
1.3764961,0.9977736,282.7801,6.312482,888.5532,0.8506522,1.56318420576533
1.0854288,0.999233,305.13,3.725473,889.1881,0.8120434,1.44611469295458
0.9596362,0.996663,274.8551,7.447063,829.2779,0.9376681,1.52156481251773
1.3341944,0.9940147,507.4445,3.211051,439.8228,0.7695988,1.58119510910799
1.3781479,0.9919252,507.6089,5.990897,859.516,0.7385987,1.6105983683346
0.8069609,1.0044741,334.0066,8.257005,914.4501,0.9460355,1.50529027365127
0.7401631,0.9924291,200.6191,4.433821,431.9817,0.9654584,1.38923794200662
1.3266402,0.9988822,298.6651,6.105189,902.4456,0.7394347,1.49673237623579
1.1305155,1.005418,515.2845,3.49356,566.4305,0.863536,1.57840962134585
0.9977645,1.0075974,514.9808,6.506228,884.4753,0.734159,1.49487402366047
1.3870314,1.0098632,259.4297,7.99111,234.3103,0.8533408,1.52352435941394
0.7428668,0.9940591,330.9881,9.358658,947.0848,0.7483859,1.30004397609025
1.2386156,0.9996472,203.6267,5.220355,882.0963,0.9904927,1.5951778820251
0.5068797,0.9931731,204.3966,9.552026,749.8395,0.7946277,1.20806695929702
1.2179035,1.0082741,232.6669,5.372116,745.9601,0.7993711,1.43901678456828
0.7060933,0.9918182,387.0755,9.004028,955.211,0.7623144,1.30317086400988
0.9673823,1.0028488,455.6494,3.670224,929.8042,0.8119122,1.47747080251877
0.8347197,1.000771,529.4578,7.189645,468.4048,0.8252974,1.4330957129377
1.3205441,1.0030142,395.0972,8.045691,590.5878,0.9917645,1.66378403351234
1.2358291,1.0019353,301.3262,9.997472,817.5051,0.9510574,1.61284242620775
1.044687,1.0080954,305.3589,9.085974,316.2122,0.7573738,1.40773094294492
0.6490893,1.0067444,534.3101,8.68226,436.0387,0.9990238,1.45043389646116
0.8508246,0.9900818,399.2148,4.393861,324.8785,0.9999836,1.51239604664515
0.6845726,0.997584,347.2119,5.432636,629.1723,0.9704624,1.44076542857102
1.0927251,0.9915476,281.0852,9.718061,805.7853,0.8165994,1.47892315323245
1.2164883,0.998878,481.59,3.919729,582.5559,0.7608437,1.54147622210947
1.0495474,1.0090306,328.9396,4.9346,326.9181,0.7138772,1.35765738420237
1.0944637,0.995698,288.5645,7.777123,719.92,0.781826,1.44570872781243
0.8360033,0.9901673,349.7263,5.309952,730.8479,0.836224,1.38398108975429
0.8550657,1.0056658,243.6892,8.871285,881.5531,0.9608169,1.51001671646571
1.0691085,1.0098341,331.6648,5.674391,574.4581,0.9478392,1.56449925515852
1.3859885,0.9983235,478.3359,5.049203,691.835,0.7895994,1.61346378865704
0.6943139,0.9994825,542.8941,7.599904,775.8803,0.7738685,1.31807054490821
1.4845294,1.008735,218.1928,6.386553,744.2898,0.7478423,1.47222135913901
1.1195095,1.0078656,500.2039,9.616612,250.9173,0.7181354,1.52761189585129
1.1269368,1.0084218,547.7892,4.88395,568.4507,0.7785403,1.55662834577049
0.9338058,0.9908777,419.5552,6.183053,334.7886,0.995599,1.55266261501096
0.6758993,0.9909274,368.4497,5.267585,460.4968,0.7813738,1.20206427646884
0.8811409,0.998226,460.1163,6.006219,748.204,0.871721,1.48946804494662
1.4038514,1.0003428,371.0878,7.909243,649.2829,0.8850368,1.62490066696286
1.2213551,0.9921461,326.5828,3.550421,989.9228,0.7513208,1.4604211976506
1.1200733,0.9999545,243.6145,9.131914,325.2484,0.9436531,1.50548507363058
0.5127173,1.002598,375.4798,5.854587,997.9117,0.8485852,1.26849947648649
0.6758842,1.0012218,432.4269,9.308187,696.024,0.7209783,1.24722401860863
1.2368127,0.9994879,379.7621,4.74784,496.6384,0.9510012,1.61486420305453
1.0532705,0.9936563,429.1101,4.078787,345.3657,0.8123864,1.47201936417449
0.7542259,1.0059044,301.9036,7.984782,780.3204,0.7005717,1.22965948738375
0.5158197,1.0017327,333.0777,9.319422,649.9614,0.9027091,1.32952772005883
0.6393215,1.003363,347.0825,8.775904,305.1011,0.7615409,1.18283860725234
1.1545946,1.0049846,452.7315,4.804863,529.0675,0.780934,1.52946531554996
0.7220477,1.0035691,450.7396,4.298096,635.1089,0.756476,1.24257872792183
1.1584794,0.9983048,317.8698,7.588522,472.6471,0.9604147,1.58156979857425
0.5968898,0.9931692,422.6373,6.228928,634.678,0.7788975,1.2034253650283
0.6959282,1.009278,274.2274,7.76617,317.0424,0.8593616,1.27398139774131
1.2531569,0.9995482,231.2155,4.831252,344.3284,0.7794085,1.39077401315379
0.8455656,1.0006135,525.3685,9.82444,469.7457,0.7837482,1.43055295630845
1.1136506,0.9957066,518.6382,4.096044,700.1088,0.9785881,1.64479091092109
0.8210447,0.9991829,517.057,8.492978,624.303,0.8104802,1.43093487117051
1.2186185,0.9983171,309.5306,8.567898,735.0411,0.8108237,1.52400241715649
0.9935387,0.9904901,250.9321,3.909165,627.6769,0.7529319,1.2883679382434
1.0428984,1.0033172,399.2891,9.632783,707.6577,0.9199253,1.57913867057948
1.164112,1.003383,260.1372,5.559969,861.6658,0.9206304,1.54986325543392
0.8423599,0.9967476,496.1801,5.75026,860.8566,0.9653726,1.55871244544539
0.7661213,0.9934235,225.2111,4.290079,420.4823,0.7885393,1.17633676226702
1.4333352,1.0020387,453.7524,8.749389,927.3781,0.7274901,1.62021363702572
1.4313297,1.0080107,281.1493,6.947908,512.097,0.7650616,1.52098398597334
0.8961125,0.9999638,269.1849,3.567509,447.368,0.8151564,1.30042507630359
1.3891877,1.0006487,291.8476,5.6229,353.6424,0.9225316,1.58349890636884
0.7007595,1.0056694,254.8764,9.452272,233.4467,0.7855507,1.1945316929198
0.7579299,0.9982941,248.7352,9.770532,405.3342,0.9394995,1.39604973014644
0.8352622,0.9953005,419.7531,7.117938,403.8114,0.9819711,1.51068128602117
1.1809972,0.9908018,333.1855,3.433779,637.6686,0.9960688,1.62399061516348
1.2981879,1.0095746,320.3341,6.896901,750.9978,0.8418503,1.56591715379416
0.6427371,0.9993914,425.1952,9.756138,389.3581,0.9293194,1.36876889325145
1.1780286,0.9963989,500.1442,4.847045,622.2435,0.946815,1.63564551499381
0.5527273,1.0037237,504.7192,7.415714,231.6848,0.8445396,1.21360681917235
0.5347735,0.9943382,540.0379,7.57921,978.0173,0.8908115,1.35175271753384
0.6457237,0.9907042,227.9546,3.616576,439.2046,0.9240109,1.29990804972901
1.4703681,0.9967659,306.4289,4.337638,325.6995,0.8073846,1.53250976584442
0.6748617,1.0082419,415.9794,6.294472,244.9126,0.7673815,1.18604844197803
