"f","e","d","tau_q","tau_s","v_s"
0.132509211362782,0.401581215168418,0.000264463681410856,0.000239077678286405,1.65545541158718e-05,0.145686616867174
0.157922568777688,0.399899567005251,0.000108258271545612,0.000899871827835057,9.06678510018565e-06,0.0771762120711932
0.17107598979489,0.397955846263754,0.000191174266244637,0.000378463165563801,4.47031439644239e-06,0.0900792225803308
0.0836630544725678,0.291835998344125,7.40786822305639e-05,0.000401168812449985,-2.71542360819688e-05,0.0386071034318412
0.194143636473362,0.487879603640388,0.000225406091870196,0.00116249673378096,1.13967624222991e-05,0.101109702108155
0.315858712474341,0.546714096504527,0.000594132687765893,0.000545939230323979,5.36199892802144e-05,0.254858520253541
0.376602146901212,0.188973680198239,0.000215247542948255,0.0063100559221393,8.16025560985256e-05,0.666395041598608
0.621126590767435,0.57624624546859,0.00068002033142335,0.00282901054959396,0.00013451807015539,0.363630033178319
0.499874214617907,0.608207914306948,0.000369683339786087,0.00190826380091964,2.41254038960455e-05,0.218025811512931
-0.0104189501467846,0.0236298758462571,8.89814913821539e-05,0.00165166943611948,6.74992813009886e-05,0.927275331506054
0.407796654831769,0.727381617946435,0.00133227967896914,0.00621025586503328,4.18470386107081e-05,0.419829965517246
0.515668430052955,0.216979055853688,0.000181665538154712,0.0045734476839973,0.000118043885642988,0.721409846520708
0.132407873883545,0.0654712225586038,0.000170729926691531,0.00285960693216395,0.000208349035239775,0.803093900098417
0.411097885786574,0.519962426056233,0.000851901682536663,0.00362671500762795,5.13754765102002e-05,0.51355971353429
0.687807144074088,0.542358294907034,0.000801269840894691,0.0061690708572487,0.000168204172251685,0.493687320360734
0.544635451116667,0.407853898603087,0.000606010880162944,0.00448636121897498,0.000162729259506482,0.653753116316926
0.449892712132536,0.612044881764995,0.000514157165693943,0.00205649855871964,3.17107626280692e-05,0.264712779047484
0.145100311079429,0.374472886230423,0.000108082884856326,0.000560723467650223,8.88515289091876e-06,0.10953932281464
0.316343249551401,0.462450189497029,0.000695364479652963,0.0017432097669893,6.27073631888353e-05,0.500073558751667
0.406216280268133,0.12281902655357,0.0001152865247626,0.000917445040561096,0.000340772124408323,0.732080677674924
0.308033321029486,0.550269405052467,0.000563393524807094,0.00208267679290285,2.75919556637916e-05,0.289677020194086
0.110492631473323,0.383348222164333,0.00011479793305586,0.000639272349333939,5.40639366590583e-06,0.0380412693997559
0.386800209628537,0.212109428954237,0.000262079606885933,0.004110316515667,0.000101842169277727,0.877218307065341
0.429326078897763,0.155230595988151,0.000128942332357417,0.00727111864359552,6.15404761851844e-05,0.6904491686875
0.314512335464648,0.608222957828856,0.000505538046942528,0.0019305569523712,1.88449633669447e-05,0.209405313122387
0.372450959799218,0.630699352136011,0.000599500999909519,0.00296521023604191,2.3049422925093e-05,0.250595209067312
0.654492156080818,0.388931037580855,0.000275829894777345,0.00128327783318706,0.000164990641282688,0.446424960606613
