"","f","e","d","tau_q","tau_s","v_s","y","fitted.value","residuals"
"2196",0.745944700986843,0.996553271771046,83.4768145657122,1.49696158850903,121.560289578836,0.839076079913587,0.456079547924088,0.564242707100552,-0.108163159176464
"2186",0.709785937387242,0.995040049744755,95.3944221994444,1.75072359309794,157.606652475043,0.720873669064016,0.433552713814944,0.539821184825059,-0.106268471010115
"1296",0.912459266369453,1.00178895421161,57.2315130921337,8.7634121698229,115.385721307739,0.766134821803904,0.57089347782389,0.676706153381948,-0.105812675558058
"2197",0.716942304351726,0.990559917192654,110.058051318444,1.51891731324157,146.822031352359,0.701690222067628,0.439632847391606,0.544654573963306,-0.1050217265717
"2167",0.699811956358494,0.991187074675931,109.733136243882,1.43246873215245,161.562492413025,0.758254263857142,0.42915135694345,0.533084787459093,-0.103933430515644
"2384",0.753642344436844,0.991112387272697,153.772073043338,1.82809543072663,201.067721367473,0.701502027813714,0.465617634310116,0.569441672780481,-0.103824038470365
"2347",0.697577333713297,0.995675255514821,99.8856816405986,1.13821446306846,133.810152619769,0.774003348361027,0.427772682946565,0.531575529916128,-0.103802846969563
"2191",0.708734544050201,0.997671722505919,131.315645551877,1.96437270260797,118.986150063274,0.746946146389914,0.436080790447008,0.539111076866579,-0.103030286419571
"2096",0.70015011899276,0.992939784818477,83.4768153767207,1.49696137620468,121.560288139561,0.776679346705006,0.430299963499892,0.533313181504778,-0.103013218004887
"1816",0.700149120856567,0.991543700455578,83.4768155258123,1.49695945632208,121.56028820318,0.776679492349933,0.43034241744148,0.533312507366538,-0.102970089925058
"1037",1.02890755995693,1.00869914610438,77.4818169775828,7.36952638450653,109.565636153178,0.93612795412229,0.652448348041689,0.755354987376402,-0.102906639334714
"1966",0.700149210211142,0.991542457305161,83.4768160775464,1.49695809965756,121.560285808143,0.761988247521127,0.431551962400907,0.533312567716354,-0.101760605315447
"2437",0.72308248998419,0.993925627882044,122.937714444466,1.95842654358008,197.122480226896,0.694774769700927,0.44712345547893,0.548801637227397,-0.101678181748467
"2206",0.723466467188179,0.992939198266122,56.1347769618519,1.10039576027883,121.560288072016,0.841545886334948,0.447633984108669,0.549060974298331,-0.101426990189662
"2307",0.702590561220887,0.995304605143549,79.7676990675336,1.51891707191266,162.642556859035,0.779730593350765,0.433828578774018,0.534961448986936,-0.101132870212918
"2181",0.694586121383677,0.992573466906558,131.315646454231,1.82006583655193,139.807645245033,0.746947341222199,0.428491599370578,0.529555273932061,-0.101063674561483
"2336",0.706192648448299,0.993073287370777,62.4466520016684,1.13228638775332,142.521329336314,0.792893916607247,0.436954270657767,0.537394288075037,-0.100440017417269
"2224",0.747781036310967,0.993254155806827,105.91955092835,1.6057184947327,133.392414554108,0.670778712298704,0.465112848496889,0.565482962561716,-0.100370114064827
"2040",0.735337619696311,0.99333197604322,83.4768135123749,1.49696038027154,127.08833488153,0.841191349128604,0.456844224177241,0.557078715685271,-0.10023449150803
"2090",0.700149055298662,0.991544067036503,83.476816224503,1.49696042495598,164.927077313891,0.776679354536077,0.433196268838818,0.533312463088922,-0.100116194250104
"1881",0.685699005540472,0.992573476349849,131.315645782543,1.65326755202253,139.807644719478,0.746945961532597,0.424845583837768,0.52355294210642,-0.0987073582686519
"1174",0.891081178851876,1.00905965793688,98.2448662568327,4.20455526011405,350.438641090115,0.663328911011913,0.564250566373585,0.662267456132806,-0.0980168897592212
"1959",0.783937231062258,1.00140137610338,159.80381930684,2.45134298341618,138.194276456647,0.748890950243057,0.492638002814075,0.589902749844638,-0.0972647470305634
"2176",0.708916063137779,0.993517374746006,66.4570814911602,1.63131221888327,114.54589968873,0.796984339691762,0.442997517157435,0.539233674322892,-0.0962361571654572
"2086",0.701878334527768,0.996439672528652,108.482917101564,1.49695919961114,102.637419486011,0.787781559035282,0.439294106338351,0.534480413179301,-0.0951863068409505
"1099",1.02642447613149,0.994501317121051,170.25833246749,7.1110161138288,106.606928220434,0.588880642579641,0.658853348448598,0.753677919885202,-0.0948245714366039
"2106",0.700150300160726,0.992940470260321,83.476816803624,1.94826493298555,121.560288435001,0.776678858404815,0.438856018069144,0.533313303865088,-0.0944572857959442
"2030",0.71459828613467,0.990515233540182,64.3620158536701,1.34065275509974,103.312929752522,0.80641162065759,0.448619183815746,0.543071430973797,-0.0944522471580515
"1257",1.09526250517836,1.00617813988249,156.531752292145,7.02226583996244,161.459110314624,0.747855063299525,0.705855197783113,0.800170921647787,-0.0943157238646747
"1244",0.979951912170421,1.00272681297842,53.9942796604937,8.26942478270963,298.606684425522,0.819061283798704,0.628228634638822,0.72229048726881,-0.0940618526299877
